Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
70,0.00020000,0.547621,0.464470,0.083151,0.444404,0.527087,0.750513,0.583951,0.527629,0.690731,0.691918,0.659707,0.539384,0.458605,0.080779,0.450898,0.547725,0.738755,0.596957,0.534341,0.731399,0.674094,0.672594,0.386184
71,0.00020000,0.543582,0.460973,0.082608,0.446332,0.528349,0.751432,0.585908,0.530471,0.701026,0.684088,0.662019,0.540855,0.459197,0.081657,0.461468,0.577181,0.710411,0.603985,0.531064,0.753938,0.644259,0.665700,0.408186
72,0.00020000,0.540607,0.458472,0.082135,0.451205,0.537982,0.749487,0.591337,0.533961,0.713502,0.681022,0.665960,0.528096,0.447721,0.080376,0.453487,0.531323,0.771537,0.597734,0.547326,0.710541,0.712023,0.681295,0.387089
73,0.00020000,0.543910,0.461524,0.082387,0.446873,0.531286,0.746802,0.587786,0.531363,0.702627,0.685297,0.663834,0.522472,0.442919,0.079552,0.466302,0.563451,0.752761,0.613348,0.546821,0.731300,0.693900,0.684614,0.404290
74,0.00020000,0.550836,0.467558,0.083278,0.440698,0.525462,0.744024,0.579692,0.526111,0.695708,0.682130,0.657601,0.520767,0.441333,0.079434,0.460917,0.545201,0.772280,0.607842,0.549342,0.734268,0.694720,0.685337,0.392630
75,0.00020000,0.545099,0.462410,0.082689,0.445603,0.533156,0.745776,0.586567,0.530604,0.706213,0.682956,0.662835,0.534661,0.453436,0.081225,0.443731,0.514179,0.778308,0.589003,0.541572,0.698592,0.712321,0.677132,0.384782
76,0.00020000,0.545654,0.462750,0.082904,0.443181,0.526798,0.751152,0.584074,0.527802,0.695279,0.690803,0.661378,0.532609,0.452371,0.080238,0.449219,0.533117,0.760725,0.594920,0.546870,0.728638,0.695131,0.682141,0.383305
77,0.00020000,0.534410,0.453267,0.081144,0.456829,0.544294,0.749053,0.597594,0.541094,0.714205,0.691802,0.673094,0.529972,0.449474,0.080498,0.448848,0.523786,0.773819,0.595464,0.546068,0.703898,0.714694,0.682263,0.386467
78,0.00020000,0.538174,0.456530,0.081644,0.451604,0.534904,0.753834,0.591675,0.538787,0.710676,0.693305,0.670524,0.538326,0.456985,0.081341,0.446981,0.531835,0.752352,0.592865,0.535570,0.712535,0.691378,0.674177,0.377592
79,0.00020000,0.528328,0.448028,0.080300,0.461322,0.549460,0.756932,0.602159,0.546232,0.721096,0.694930,0.677915,0.534535,0.453631,0.080904,0.454379,0.543855,0.741527,0.599513,0.541348,0.731068,0.678379,0.677472,0.389646
80,0.00020000,0.535037,0.453197,0.081840,0.456999,0.548970,0.746341,0.598882,0.537637,0.711873,0.688541,0.670012,0.541160,0.460033,0.081127,0.451235,0.547513,0.733283,0.594588,0.538162,0.723150,0.682679,0.673934,0.396092
81,0.00004000,0.532572,0.451822,0.080750,0.457555,0.544160,0.755901,0.598622,0.542609,0.714877,0.696371,0.675198,0.533020,0.452469,0.080552,0.453615,0.537598,0.755540,0.597354,0.541920,0.711437,0.700582,0.678120,0.390698
82,0.00004000,0.523478,0.443535,0.079942,0.465243,0.548583,0.761191,0.605197,0.550191,0.719268,0.699945,0.680179,0.532764,0.452366,0.080398,0.451516,0.533048,0.759808,0.595726,0.543951,0.707052,0.707896,0.679314,0.388383
83,0.00004000,0.528228,0.448038,0.080190,0.463114,0.549942,0.756030,0.603495,0.545373,0.717029,0.694403,0.676941,0.531677,0.451199,0.080478,0.459095,0.553700,0.743127,0.603568,0.541927,0.727323,0.684651,0.678099,0.404679
84,0.00004000,0.525880,0.445797,0.080083,0.464416,0.550815,0.758832,0.605253,0.550325,0.723620,0.696994,0.681037,0.529727,0.449641,0.080086,0.456502,0.548501,0.756266,0.601658,0.543223,0.725970,0.693747,0.679988,0.399830
85,0.00004000,0.521435,0.441827,0.079608,0.471083,0.562858,0.753193,0.611508,0.551044,0.732755,0.690686,0.682289,0.529797,0.449726,0.080071,0.452253,0.536405,0.765361,0.598103,0.548869,0.715451,0.711344,0.684563,0.394823
86,0.00004000,0.524649,0.444887,0.079762,0.464813,0.549261,0.759547,0.606034,0.549919,0.721480,0.697080,0.681269,0.520330,0.441175,0.079155,0.464367,0.553516,0.765156,0.609785,0.551666,0.734721,0.698927,0.687588,0.399469
87,0.00004000,0.529321,0.448776,0.080545,0.463875,0.551563,0.756127,0.604574,0.543013,0.720508,0.690568,0.675173,0.526171,0.446421,0.079750,0.462134,0.551501,0.754249,0.606631,0.545162,0.732655,0.689911,0.681386,0.396580
88,0.00004000,0.518038,0.438917,0.079121,0.472869,0.560605,0.760331,0.613024,0.552697,0.730305,0.694804,0.683653,0.521796,0.442655,0.079140,0.467750,0.565523,0.752143,0.612478,0.549212,0.740590,0.689330,0.685579,0.407750
89,0.00004000,0.529129,0.448667,0.080462,0.462958,0.553276,0.750091,0.602855,0.545324,0.721317,0.692720,0.676482,0.523596,0.444233,0.079363,0.468464,0.570085,0.745143,0.613433,0.547605,0.745394,0.682325,0.684312,0.409149
