Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
44,0.00020000,0.577058,0.490449,0.086609,0.414704,0.494035,0.725355,0.553546,0.499924,0.658836,0.672275,0.634678,0.542316,0.460086,0.082230,0.433620,0.503718,0.781442,0.580923,0.530314,0.680975,0.715290,0.668449,0.352149
45,0.00020000,0.587621,0.499729,0.087892,0.404984,0.484430,0.722071,0.544435,0.491343,0.653354,0.666046,0.627079,0.536721,0.454998,0.081723,0.449124,0.534833,0.759180,0.595196,0.535192,0.709607,0.693809,0.672753,0.372245
46,0.00020000,0.584629,0.496907,0.087722,0.409201,0.491615,0.716746,0.548109,0.492825,0.656952,0.661143,0.626908,0.553622,0.470028,0.083595,0.415530,0.475656,0.795931,0.563636,0.526847,0.657644,0.739524,0.666169,0.331520
47,0.00020000,0.574894,0.488463,0.086431,0.416466,0.500791,0.727876,0.557100,0.501378,0.667707,0.673560,0.637740,0.541669,0.459586,0.082083,0.442087,0.520255,0.762479,0.587138,0.533818,0.696420,0.704694,0.671177,0.365777
48,0.00020000,0.579108,0.492127,0.086981,0.413968,0.501655,0.724004,0.553911,0.498824,0.666981,0.669775,0.633287,0.547681,0.464690,0.082992,0.431833,0.506919,0.771465,0.578347,0.530380,0.675380,0.723404,0.667838,0.351257
49,0.00020000,0.586637,0.498799,0.087838,0.408586,0.488002,0.719900,0.546288,0.492126,0.652304,0.665415,0.626321,0.538931,0.457409,0.081522,0.443105,0.523518,0.764323,0.589685,0.533254,0.701116,0.697509,0.670807,0.368436
50,0.00020000,0.571735,0.485423,0.086312,0.419517,0.498961,0.729847,0.558999,0.503573,0.664456,0.671205,0.637467,0.548422,0.465872,0.082550,0.436147,0.519160,0.757051,0.581567,0.527225,0.701953,0.692478,0.666262,0.373155
51,0.00020000,0.565090,0.479898,0.085192,0.425859,0.507020,0.737239,0.566061,0.512364,0.680349,0.673763,0.645997,0.546365,0.464710,0.081655,0.452929,0.563907,0.715681,0.597194,0.532630,0.735924,0.664979,0.668799,0.397321
52,0.00004000,0.566199,0.480753,0.085445,0.432305,0.524370,0.720577,0.571160,0.513631,0.690907,0.665707,0.646385,0.533726,0.452623,0.081104,0.450626,0.532661,0.765649,0.596063,0.540731,0.708208,0.703767,0.676739,0.380556
53,0.00004000,0.557417,0.473474,0.083943,0.432832,0.515448,0.738728,0.573388,0.517254,0.685229,0.680664,0.652193,0.533434,0.452477,0.080957,0.453047,0.538559,0.760950,0.597841,0.541109,0.708927,0.703859,0.676923,0.388445
54,0.00004000,0.553455,0.469810,0.083645,0.436715,0.522160,0.740425,0.577924,0.520817,0.693890,0.679759,0.654831,0.528002,0.447710,0.080292,0.454916,0.534176,0.772381,0.599483,0.546529,0.709007,0.713702,0.682120,0.381237
55,0.00004000,0.558583,0.474297,0.084286,0.430732,0.512444,0.739344,0.571888,0.515989,0.683283,0.680222,0.650044,0.527331,0.447104,0.080227,0.459011,0.544004,0.763757,0.603491,0.545091,0.721445,0.698251,0.680533,0.387546
56,0.00004000,0.558130,0.474051,0.084078,0.433562,0.522261,0.735314,0.574258,0.518037,0.693177,0.676614,0.651992,0.529912,0.449355,0.080557,0.450693,0.525721,0.776877,0.595545,0.545141,0.706631,0.711282,0.680198,0.378084
